,OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu)
2217,24830,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.57595,-122.33624,1937-01-01,1.0,2,39036,0,39036,"Office, Other",Office,27636.0,,1633524.125
2218,24840,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.57529,-122.33475,1923-01-01,1.0,1,26310,0,26310,"Non-Refrigerated Warehouse, Office, Social/Meeting Hall",Office,24000.0,96.0,841208.1875
2222,24857,NonResidential,Retail Store,2,SOUTHEAST,47.54723,-122.28455,1966-01-01,1.0,1,37883,0,37883,"Retail Store, Supermarket/Grocery Store",Retail Store,28734.0,88.0,12869714.0
2225,24862,NonResidential,K-12 School,1,DELRIDGE,47.53887,-122.37564,1962-01-01,1.0,3,29874,0,29874,K-12 School,K-12 School,31375.0,95.0,1478408.125
2227,24868,NonResidential,Worship Facility,7,MAGNOLIA / QUEEN ANNE,47.64,-122.39743,1965-01-01,1.0,1,20140,0,20140,"Parking, Worship Facility",Worship Facility,22000.0,35.0,1164370.875
2228,24876,NonResidential,Self-Storage Facility,6,NORTHWEST,47.70281,-122.35623,1990-01-01,1.0,2,71874,31389,40485,Self-Storage Facility,Self-Storage Facility,71874.0,,1393424.5
2231,24886,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60104,-122.30155,1971-01-01,1.0,2,39953,0,39953,Office,Office,30100.0,93.0,1608929.125
2234,24893,NonResidential,Retail Store,3,CENTRAL,47.60009,-122.3017,1998-01-01,1.0,2,21200,0,21200,"Office, Retail Store",Retail Store,14168.0,15.0,1652954.75
2235,24895,NonResidential,Supermarket / Grocery Store,3,CENTRAL,47.59881,-122.30189,1980-01-01,1.0,1,30630,0,30630,"Other, Supermarket/Grocery Store",Supermarket/Grocery Store,28470.0,27.0,6194518.0
2236,24896,NonResidential,Retail Store,3,CENTRAL,47.59881,-122.30189,1980-01-01,1.0,2,23421,0,23421,"Bank Branch, Retail Store",Retail Store,19271.0,25.0,1955353.0
2240,24909,NonResidential,Worship Facility,6,BALLARD,47.67628,-122.38238,1928-01-01,1.0,2,24120,0,24120,Worship Facility,Worship Facility,24120.0,66.0,1024822.188
2241,24911,NonResidential,Worship Facility,6,BALLARD,47.6764,-122.38502,1929-01-01,1.0,3,35736,0,35736,"Office, Worship Facility",Worship Facility,28970.0,88.0,1342448.875
2244,24943,NonResidential,Warehouse,2,GREATER DUWAMISH,47.57298,-122.33644,1941-01-01,1.0,1,51050,0,51050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,49500.0,10.0,1355995.25
2245,24948,NonResidential,Retail Store,2,GREATER DUWAMISH,47.57044,-122.33475,1954-01-01,1.0,2,21900,0,21900,Retail Store,Retail Store,21900.0,40.0,1439042.25
2246,24955,NonResidential,Distribution Center,2,GREATER DUWAMISH,47.57227,-122.33843,1952-01-01,1.0,1,16300,0,16300,Distribution Center,Distribution Center,65164.0,100.0,150167.7969
2247,24958,NonResidential,Warehouse,2,GREATER DUWAMISH,47.57339,-122.33735,1964-01-01,1.0,1,33462,0,33462,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33462.0,1.0,1386445.375
